ru	schema
Коронавирусная инфекция COVID 19 у детей в возрастной группе от 0 до 1 года чаще проявлялась в клинической форме ринофарингита легкой степени тяжести , что подтверждается индикаторами тяжести инфекционного процесса  ( количество лимфоцитов , тромбоцитов и АЧТВ , Д-димера ) у детей грудного возраста .	Adj N Abbr Num Prep N Prep Adj N Prep Num Prep Num Measure Adv/measure Vf Prep Adj N N Adj N N Comma Pron/rel Vf N N Adj N Bracket N N Comma N Coord Abbr Comma N Bracket Prep N Adj N Dot
Вразуми , что книга имеет сложный сюжет с множеством героев , так что для лучшего понимания можешь завести тетрадь , где запишешь имена и роли каждого героя .	Vf Comma Sub N Aux Adj N Prep N N Comma Sub Sub Prep Adj N Vm Vinf N Comma Sub Vf N Coord N Pron/attr N Dot
Итак , дорогие друзья , для того чтобы выбрать настоящих друзей , стоит обращать внимание на внутренние качества , наличие взаимности и доверие .	Introduct Comma Adj N Comma Sub Sub Sub Vinf Adj N Comma Vf Vinf N Prep Adj N Comma N N Coord N Dot
Усевшись где-нибудь на кургане в степи , или на холмике над рекой , или , наконец , на хорошо знакомом утёсе , слепой слушал лишь шелест листьев .	Particip/v Adv/place Prep N Prep N Comma Coord Prep N Prep N Comma Coord Comma Introduct Comma Prep Adv/action_desс Adj N Comma N Vf Part/limit N N Dot
В условиях школьного обучения ребенок постоянно оказывается перед необходимостью построить суждения , выражением которого является связное высказывание , т . е . определенный текст .	Prep N Adj N N AdvT1 Vf Prep N Vinf N Comma N Pron/rel Aux Adj N Comma Abbr Dot Abbr Dot Adj N Dot
Жизнь - прежде всего творчество , но это не значит , что каждый человек , чтобы жить , должен родиться художником , балериной или ученым .	N Dash Adv Adv N Comma Coord Part/dem “not” Vf Comma Pron/rel Pron/attr N Comma Sub Vinf Comma Vm Vinf N Comma N Coord N Dot
Верю я в то , что человек живет так , как сам того заслуживает  ( по своим талантам и качествам ) , а если не делать того , что нужно , то приходится расплачиваться за это , и не просто , а вдвойне .	Vf Pron Prep Pron/dem Comma Pron/rel N Vf Adv/action_desс Comma Sub Pron/attr Pron/dem Vf Bracket Prep Pron/pos N Coord N Bracket Comma Coord Sub ”not” Vinf Pron/dem Comma Pron/rel Vm Comma Sub Vm Vinf Prep Part/dem Comma Coord ”not” Adv/action_desс Comma Coord Adv/measure Dot
Почитай отца твоего и мать твою , чтобы тебе было хорошо и чтобы продлились дни твои на земле , которую Господь , Бог твой , даёт тебе .	Vf N Pron/pos Coord N Pron/pos Comma Sub Pron Aux state Coord Sub Vf N Pron/pos Prep N Comma Pron/rel N Comma N Pron/pos Comma Vf Pron Dot
… Как относиться к жизни : плыть по течению , чтобы выяснить её цель , или выбраться на берег и наблюдать , как она катит свои воды ?	Ellipsis Interrog.word Vinf Prep N Colon Vinf Prep N Comma Sub Vinf Pron/pos N Comma Coord Vinf Prep N Coord Vinf Comma Sub Pron Vf Pron/pos N Mark/quest
В древнерусском языке были существительные мужского рода  « пешек »  ( в значении  « пешеход »  ) и  « мельк »  ( в значении  « миг » ,  « мгновение »  ) .	Prep Adj N Aux N Adj N Quote N Quote Bracket Prep N Quote N Quote Bracket Coord Quote N Quote Bracket Prep N Quote N Quote Comma Quote N Quote Bracket Dot
Как сказал один из великих , счастье не может быть продолжительным , иначе это уже не счастье , а обыденность .	Adv/action_desс Vf Num Prep N Comma N ”not” Vm Aux Adj Comma Coord Part/dem Part/intens ”not” N Comma Coord N Dot
Он вступил в тёмные широкие сени , от которых подуло холодом , как из погреба .	Pron Vf Prep Adj Adj N Comma Prep Pron/rel Vf N Comma Conj.comp Prep N Dot
– Возьмёшь меня в следующем году ? – спросила Женя .	Dash Vf Pron AdvT AdvT AdvT Mark/quest Dash Vf N Dot
Сущность этой технологии заключается в том , что длинный текст , требующий долгого прочтения , разбивается на небольшие части , которые озаглавливаются , перемешивается различными мультимедийными элементами  ( хотя не всегда обязательно ) , например , фотографиями , аудиотекстами , видеосюжетами , инфографикой  ( смешанными текстами ) .	N Pron/dem N Vf Prep Pron/dem Comma Pron/rel Adj N Comma Particip/adj Adj N Comma Vf Prep Adj N Comma Pron/rel Vf Comma Vf Adj Adj N Bracket Sub ”not” AdvT1 Adv/action_desс Bracket Comma Introduct Comma N Comma N Comma N Comma N Bracket Adj N Bracket Dot
22 ноября отмечается день рождения Владимира Ивановича Даля – составителя знаменитого  « Толкового словаря » и сборника пословиц и поговорок .	AdvT AdvT Vf N N N N N Dash N Adj Quote Adj N Quote Coord N N Coord N Dot
Одно из исследований , в котором участвовали дети возраста начальной школы , показало чёткую зависимость между длительностью использования гаджетов , с одной стороны , и эмоциональными и социальными проблемами , с другой .	Num Prep N Comma Prep Pron/rel Vf N N Adj N Comma Vf Adj N Prep N N N Comma Introduct Introduct Introduct Comma Coord Adj Coord Adj N Comma Introduct Introduct Dot
Для чего чаще всего используют школьники телефоны в 2021 году  ( выбрали паттерны , показавшие как минимум более 60 % опрошенных ) : − ищут информацию для учебы ; − работают с текстом , таблицами , презентациями ; − используют онлайн-переводчики ; − смотрят видео и аудио – утверждают , что тоже в учебных целях .	Prep Pron/rel AdvT1 AdvT1 Vf N N AdvT AdvT AdvT Bracket Vf N Comma Particip/adj Adv/measure Adv/measure Adv/measure Num Measure N Bracket Colon Dash Vf N Prep N Semicolon Dash Vf Prep N Comma N Comma N Semicolon Dash Vf N Semicolon Dash Vf N Coord N Dash Vf Comma Sub Coord Prep Adj N Dot
Ах , сударь , мне сказали – Вы пишете стишки , Увидеть их нельзя ль ?	Interj.   Comma N Comma Pron Vf Dash Pron Vf N Comma Vinf Pron state Part/quest Mark/quest
Полно , никакой нежности , конечно , нет и в помине .	Part/excl Comma Pron/neg N Comma Introduct Comma ”not” Coord Prep N Dot
А если хозяин – гарант и главнокомандующий – не уверен в пугающей ситуации , то собаке впору сложить руки – и в гроб .	Coord Sub N Dash N Coord N Dash ”not” Adj Prep Adj N Comma Sub N Adv/action_desс Vinf N Dash Coord Prep N Dot
Сколько раз уже такое было : сейчас горит , а завтра уже не нужно .	Pron/rel N Part/intens Pron/dem Aux Colon AdvT Vf Comma Coord AdvT Adv/action_time ”not” Vm Dot
Игорь , это должно быть готово АСАП !	N Comma Part/dem Vm Aux Adj Abbr Mark/excl
Раздражает , когда фраза  « Как ваш отпуск ? » означает  « Вы там прохлаждались , а мы тут пахали ! » .	Vf Comma Sub N Quote Interrog.word Pron/pos N Mark/quest Quote Vf Quote Pron Adv/place Vf Comma Coord Pron Adv/place Vf Mark/excl Quote Dot
По нашему соглашению для получения выгрузки за текущий период необходимо отправить заявку до 19 : 30 четверга в целях соблюдения технических и регламентных требований договора .	Prep Pron/pos N Prep N N Prep Adj N Vm Vinf N AdvT Num Colon Num AdvT Prep N N Adj Coord Adj N N Dot
Не стоит перегибать палку и ставить каждую мысль в отдельный абзац : это так же бесполезно , как когда деления на абзацы нет .	”not” Vf Vinf N Coord Vinf Pron/attr N Prep Adj N Colon Part/dem Adv/action_desс Part/intens Adv/action_desс Comma Conj.comp Sub N Prep N ”not” Dot
Если у вас есть предложения по ассортименту или меню , смело пишите мне — нашей команде очень важно мнение постоянных гостей .	Sub Prep Pron Aux N Prep N Coord N Comma Adv/action_desс Vf Pron Dash Pron/pos N Adv/emph Adv/action_desс N Adj N Dot
На  « ты » лучше переходить при личной встрече , когда вы видите собеседника и чувствуете обстановку .	Prep Quote Pron Quote state Vinf Prep Adj N Comma Sub Pron Vf N Coord Vf N Dot
Чтобы расселение прошло максимально безболезненно , я забронировала пять переговорок на 2 – 6 человек и составила списки , кого куда рассадить .	Sub N Vf Adv/measure Adv/action_desс Comma Pron Vf Num N Prep Num Dash Num N Coord Vf N Comma Pron Sub Vinf Dot
Здесь всё шито белыми нитками : его лицемерное дружелюбие , манипуляции , склизкий флирт и глубокое , бездонное , вызывающее испанский стыд , неуважение собеседнику .	Adv/place Pron/attr Vf Adj N Colon Pron/pos Adj N Comma Comma N Comma Adj N Comma Coord Adj Adj Particip/adj Adj N Comma N N Dot
Вместо того , чтобы  « пинать » и напоминать человеку о своей задаче , лучше помочь ему быстрее с ней справиться .	Sub Sub Comma Sub Quote Vinf Quote Coord Vinf N Prep Pron/pos N Comma state Vinf Pron Adv/action_desс Prep Pron Vinf Dot
При оценке параметров устойчивости на аппарате ZEBRIS с открытыми глазами было выявлено , что площадь эллипса 95  % распределения составила 241 мм2 , площадь эллипса с закрытыми глазами – 1750 мм2 .	Prep N N N Prep N FW Prep Adj N Aux Vf Comma Sub N N Num Measure N Vf Num Measure Comma N N Prep Adj N Dash Num Measure Dot
Наследственный ангиоотёк  ( НАО ) – редкое , генетически детерминированное заболевание , проявляющееся отеками кожи и слизистых .	Adj N Bracket Abbr Bracket Dash Adj Comma Adv/action_desс Adj N Comma Particip/adj N N Coord N Dot
В марте 2017 года проходила лечение в отделении иммунопатологии ФГБУ  « ГНЦ ИНСТИТУТ ИММУНОЛОГИИ » .	AdvT AdvT AdvT AdvT Vf N Prep N N Abbr Quote Abbr N N Quote Dot
В 36 случаях ген несли бактерии вида Escherichiacoli , а в 111 – Klebsiellapneumoniae .	Prep Num N N Vf N N FW Comma Coord Prep Num Dash FW Dot
Но 27 августа 1775 года Екатерина пишет письмо , в котором сообщает радостно :  « Моления наши услышаны : Великая Княгиня беременна и здоровье её , кажется , укрепилось » .	Coord AdvT AdvT AdvT AdvT N Vf N Comma Prep Pron/rel Vf Adv/action_desс Colon Quote N Pron/pos Particip/adj Colon N N Adj Coord N Pron/pos Comma Vf Comma Vf Quote Dot
Какую минимальную температуру можно измерить термометром , показанным на рисунке 14 ?	Interrog.word Adj N Vm Vinf N Comma Particip/adj Prep N Num Mark/quest
Приведите пример опыта , подтверждающего , что вещество состоит из молекул , разделённых промежутками .	Vf N N Comma Particip/adj Comma Pron/rel N Vf Prep N Comma Particip/adj N Dot
Автомобиль двигался 1 ч 20 мин со скоростью a км / ч и 45 мин со скоростью b км / ч .	N Vf Num Measure Num Measure Prep N FW Measure Punct Measure Coord Num Measure Prep N FW Measure Punct Measure Dot
Имеющиеся 175 книг решили разместить на трёх полках так , чтобы на нижней полке было вдвое меньше книг , чем на средней , и на 25 меньше , чем на верхней .	Particip/adj Num N Vf Vinf Prep Num N Adv/action_desс Comma Sub Prep Adj N Aux Adv/measure Adv/measure N Comma Sub Prep Adj Comma Coord Prep Num Adv/measure Comma Sub Prep Adj Dot
Например , у многих видов черепах действие высоких температур сопровождается появлением на свет лишь самок , низких температур — только самцов .	Introduct Comma Prep Adj N N N Adj N Vf N Prep N Part/limit N Comma Adj N Dash Part/limit N Dot
Кстати сказать , Горький собирается засесть за новую пьесу из жизни ночлежников , хотя я и советую ему подождать годик-другой , не спешить .	Introduct Introduct Comma N Vf Vinf Prep Adj N Prep N N Comma Sub Pron Part/intens Vf Pron Vinf Adv Comma “not” Vinf Dot
Токарем он работал , да стружка в глаза попала , потом в шоферы пошел , да машиной ворота какие-то своротил , отчаянный и глупый был , а тут – в армию .	N Pron Vf Comma Coord N Prep N Vf Comma Adv/action_time Prep N Vf Comma Coord N N Pron Vf Comma Adj Coord Adj Aux Comma Coord Adv/place Dash Prep N Dot
На носу отчет , а мы в сроки не укладываемся !	Prep N N Comma Coord Pron Prep N ”not” Vf Mark/excl
А тут Романыч ко мне , ну , заметил мой кислый вид , книжки платежные на столе .	Coord Adv/place N Prep Pron Comma Interj.   Comma Vf Pron/pos Adj N Comma N Adj Prep N Dot
А кроме того , вечером еще ходили на танцы – в общежитии БГУ , где мы жили , хороший клуб .	Coord Introduct Introduct Comma AdvT1 Adv Vf Prep N Dash Prep N Abbr Comma Sub Pron Vf Comma Adj N Dot
Готовясь , порой к зачетам , Над книгою или блокнотом Нередко до поздней ночи сидели они вдвоем .	Particip/v Comma Adv/action_time Prep N Comma Prep N Coord N Adv/action_time Prep Adj N Vf Pron Adv/measure Dot
Когда умерла моя старая собака Томка , я решил купить себе новую , не щенка , как делал обычно , а взрослую собаку , лет трех-четырех .	Sub Vf Pron/pos Adj N N Comma Pron Vf Vinf Pron Adj Comma ”not” N Comma Sub Vf AdvT1 Comma Coord Adj N Comma N Num Dot
– Зачем ты ее выкопал , чудак ? – спросил Рувим .	Dash Interrog.word Pron Pron Vf Comma N Mark/quest Dash Vf N Dot
Впервые термин  « кислотный дождь » был введен в 1872 году английским учёным Робертом Смитом в книге  « Воздух и дождь : начало химической климатологии » .	Adv/action_time N Quote Adj N Quote Aux Vf AdvT AdvT AdvT Adj N N N Prep N Quote N Coord N Colon N Adj N Quote Dot
В 2009 году окончила школу и поступила в Белорусский государственный университет транспорта на гуманитарно-экономический факультет .	AdvT AdvT AdvT Vf N Coord Vf Prep Adj Adj N N Prep Adj N Dot
Государственные органы , должностные и иные лица , которым доверено исполнение государственных функций , обязаны в пределах своей компетенции принимать необходимые меры для осуществления и защиты прав и свобод личности .	Adj N Comma Adj Coord Pron/attr N Comma Pron/rel Vf N Adj N Comma Vm Prep N Pron/pos N Vinf Adj N Prep N Coord N N Coord N N Dot
Дети могут быть отделены от своей семьи против воли родителей и других лиц , их заменяющих , только на основании решения суда , если родители или другие лица , их заменяющие , не выполняют своих обязанностей .	N Vm Aux Particip/adj Prep Pron/pos N Prep N N Coord Pron/attr N Comma Pron Particip/adj Comma Part/limit Prep N N N Comma Sub N Coord Pron/attr N Comma Pron Particip/adj Comma ”not” Vf Pron/pos N Dot
Можно по-разному определять цель существования , но цель должна быть , иначе будет не жизнь , а прозябание .	Vm Adv/action_desс Vinf N N Comma Coord N Vm Aux Comma Coord Aux ”not” N Comma Coord N Dot
Сегодня на сохранение мира и безопасности должна быть направлена не только воля политиков и общественных деятелей , но и социальная деятельность людей , особенно молодежи .	AdvT Prep N N Coord N Vm Aux Particip/adj Sub Sub N N Coord Adj N Comma Sub Sub Adj N N Comma Adv/measure N Dot
Несмотря на то что в последнее время многое делается для достижения согласия между странами и народами , ситуация в мире остается сложной .	Sub Sub Sub Sub AdvT AdvT AdvT N Vf Prep N N Prep N Coord N Comma N Prep N Vf Adj Dot
Подкомиссия по таможенно-тарифному регулированию поддержала инициативу Минсельхоза о введении временного запрета на вывоз твердой пшеницы из РФ сроком с 1 декабря 2023 года по 31 мая 2024 года включительно , говорится на сайте правительства РФ .	N Prep Adj N Vf N Abbr Prep N Adj N Prep N Adj N Prep Abbr N AdvT AdvT AdvT AdvT AdvT AdvT AdvT AdvT AdvT AdvT Adv/action_desс Comma Vf Prep N N Abbr Dot
"Ученые из Национального исследовательского университета  "" МИЭТ ""  ( Москва ) и Института исследований и разработок информационных технологий в биосистемах  ( Сербия ) разработали высокочувствительный сенсор на основе графена — материала , состоящего всего из одного слоя атомов углерода ."	N Prep Adj Adj N Quote Abbr Quote Bracket N Bracket Coord N N Coord N Adj N Prep N Bracket N Bracket Vf Adj N Prep N N Dash N Comma Particip/adj Part/limit Prep Num N N N Dot
Норвегия может закрыть единственный КПП на границе с Россией , заявил во время выступления на конференции картеля LO Stats премьер-министр королевства Йонас Гар Стёре .	N Vm Vinf Adj Abbr Prep N Prep N Comma Vf Prep N N Prep N N FW FW N N N N N Dot
Всего за 25 лет на МКС провели 86 фундаментальных медико-биологических исследований и 20 прикладных по 19 направлениям .	Adv/measure AdvT AdvT AdvT Prep Abbr Vf Num Adj Adj N Coord Num Adj Prep Num N Dot
Там вы научитесь оптимизировать запросы , попрактикуетесь в работе с транзакциями , хранимыми процедурами и витринами .	Adv/place Pron Vf Vinf N Comma Vf Prep N Prep N Comma Adj N Coord N Dot
